Location,lat,long
Auckland,-37.001986,174.784462
Bay of Plenty,-38.125772,176.558401
Blenheim,-41.515698,173.947226
Canterbury,-43.456666,171.772295
Christchurch,-43.486632,172.536763
Dunedin,-45.905626,170.43244
Hamilton,-37.770967,175.261056
Hawkes Bay,-39.162372,176.836201
Invercargill,-46.414191,168.364844
Kapiti Coast,-40.865773,175.095984
Manawatu,-39.929379,175.56729
Marlborough,-41.514031,173.86851
Nelson,-41.259122,173.354335
New Plymouth,-39.067422,174.082733
Northland,-35.731158,174
Otago,-45.512488,170.019929
Queenstown,-45.022496,168.737863
Rotorua,-38.136895,176.244358
Southern DHB,-46.413661,168.373938
Taranaki,-39.065504,174.081299
Tasman,-41.297489,173.079068
Taupo,-36.683819,176.075113
Upper Hutt,-44.934712,171.094198
Waikato,-38.075376,175.771607
Wairarapa,-41.157922,175.225086
Waitaki,-44.934712,171.094198
Waitemata,-36.822154,174.719553
Wanaka,-44.69862,169.135927
Wellington,-41.288061,174.777269
Wellington Region,-41.302084,174.746739
